id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,rate_multiplier
3_20_tips,0.0,0.0,0.4886679956,0.177683841888356,20,,IQ-TREE,0.25
11_20_tips,6.0,0.1764705882352941,0.1320651708999999,0.0380263979542274,20,,IQ-TREE,0.25
7_20_tips,2.0,0.0588235294117647,1.8113481419999995,0.7397797274713298,20,,IQ-TREE,0.25
8_20_tips,0.0,0.0,0.99827703,0.4449423888710577,20,,FastME,0.25
19_20_tips,2.0,0.0588235294117647,0.14255653,0.0724880069244761,20,,FastME,0.25
5_20_tips,30.0,1.0,0.298637469,0.0798546610924365,20,,FastME,0.25
18_20_tips,10.0,0.2941176470588235,0.181564803,0.0824595208002098,20,,FastME,0.25
10_20_tips,4.0,0.1176470588235294,0.62478878,0.2208598342713768,20,,FastME,0.25
16_20_tips,6.0,0.1764705882352941,0.1496231079999999,0.0697622741509533,20,,FastME,0.25
9_20_tips,0.0,0.0,0.1206616199999999,0.0394639767404426,20,,FastME,0.25
6_20_tips,2.0,0.0588235294117647,0.1143601599999999,0.035638897319269,20,,FastME,0.25
17_20_tips,6.0,0.1764705882352941,0.3787967049999999,0.1959974959056865,20,,FastME,0.25
2_20_tips,2.0,0.0588235294117647,0.7060485999999999,0.2479186486686872,20,,FastME,0.25
15_20_tips,33.0,1.0,1.2061315149999998,0.3542604278417079,20,,FastME,0.25
13_20_tips,2.0,0.0588235294117647,0.14498391,0.0484076404564558,20,,FastME,0.25
4_20_tips,4.0,0.1176470588235294,0.6944339399999999,0.2140416072870585,20,,FastME,0.25
14_20_tips,33.0,1.0,0.3614719249999999,0.0846774713420268,20,,FastME,0.25
1_20_tips,0.0,0.0,1.16461975,0.4846688767278018,20,,FastME,0.25
0_20_tips,33.0,1.0,3.36122288,1.2474838318307768,20,,FastME,0.25
12_20_tips,32.0,1.0,0.7839353849999999,0.2581192910318104,20,,FastME,0.25
11_20_tips,4.0,0.1176470588235294,0.1730467325,0.0604897985293023,20,,FastME,0.25
3_20_tips,0.0,0.0,0.7057819199999998,0.2509539346186507,20,,FastME,0.25
7_20_tips,2.0,0.0588235294117647,2.0591753299999995,0.8119273392959575,20,,FastME,0.25
2_50_tips,28.0,0.2978723404255319,0.367269154,0.074562895090888,50,,Phyloformer,0.25
10_50_tips,24.0,0.2553191489361702,0.1853845464999999,0.037427284375462,50,,Phyloformer,0.25
15_50_tips,28.0,0.2978723404255319,0.1552984543,0.029844897584938,50,,Phyloformer,0.25
