id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,requested_trees_per_tip_size,allow_duplicate_sequences,successful_alignments_for_tip_size,combo_name,model,clock_rate,seq_length,tree_type,n_per_size,saved_at
0_50_tips,14.0,0.1489361702127659,15.396662228500002,4.396726858961759,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
8_10_tips,0.0,0.0,4.9701021883,2.145306741115235,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
17_10_tips,0.0,0.0,10.2467470845,5.4134809085169096,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
2_50_tips,16.0,0.1702127659574468,0.6404968771000001,0.2496334262426713,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
12_50_tips,4.0,0.0425531914893617,1.5829225138,0.4105488091550944,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
7_50_tips,34.0,0.3617021276595745,0.1982321452,0.0405240038282585,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
15_50_tips,10.0,0.1063829787234042,1.6520112957,0.4514233030759241,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
11_50_tips,28.0,0.2978723404255319,1.0679517481999992,0.4178626037499864,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
7_100_tips,122.0,0.6288659793814433,0.2468016438699999,0.0372351893275712,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
9_50_tips,18.0,0.1914893617021276,2.4270533354,1.1028320276593524,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
9_100_tips,14.0,0.0721649484536082,4.090112358100002,0.8261491540263238,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
8_50_tips,12.0,0.1276595744680851,1.5531306210000004,0.4123794187533233,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
16_200_tips,188.0,0.4771573604060913,0.5528752312800024,0.0623514718913215,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
15_20_tips,4.0,0.1176470588235294,0.3508448329,0.1082305810684182,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
3_20_tips,4.0,0.1176470588235294,2.2244498463,1.016047085385348,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
