id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,requested_trees_per_tip_size,allow_duplicate_sequences,successful_alignments_for_tip_size,combo_name,model,clock_rate,seq_length,tree_type,n_per_size,saved_at
8_10_tips,0.0,0.0,7.1404140859,3.1942978585208435,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
17_10_tips,2.0,0.1428571428571428,15.0577493385,7.55487289722762,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
2_50_tips,8.0,0.0851063829787234,0.4531185388,0.0868087922761042,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
12_50_tips,2.0,0.0212765957446808,0.9685266229,0.2759417730500725,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
7_50_tips,6.0,0.0638297872340425,0.1476968025,0.0288430034654717,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
15_50_tips,6.0,0.0638297872340425,1.2440049857999995,0.2750321858751622,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
11_50_tips,10.0,0.1063829787234042,0.6180546712999999,0.233322362056973,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
7_100_tips,68.0,0.3505154639175257,0.1679806982699999,0.0228159199422133,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
9_50_tips,8.0,0.0851063829787234,2.8361618902000005,1.9345998303925944,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
9_100_tips,6.0,0.0309278350515463,3.165385427599999,0.6275843804771137,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
8_50_tips,8.0,0.0851063829787234,1.3313449404000002,0.3941740666014654,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
16_200_tips,154.0,0.3908629441624365,0.402858274179998,0.0442304884945561,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
15_20_tips,2.0,0.0588235294117647,0.2487576117999999,0.0711425856612605,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
3_20_tips,8.0,0.2352941176470588,1.4705841351999998,0.5672728371247007,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
14_20_tips,0.0,0.0,0.3834180845999999,0.2236827628633552,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
15_10_tips,0.0,0.0,0.8057437808000002,0.4474436898099577,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
17_100_tips,12.0,0.0618556701030927,2.277049157400001,0.4650904681817871,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
12_200_tips,44.0,0.1116751269035533,10.397678199000008,1.5454422131080705,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
5_200_tips,182.0,0.4619289340101523,0.2598138809799986,0.0282307569304038,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
7_10_tips,2.0,0.1428571428571428,2.1105048388000003,1.4185106442071571,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
