id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb
2_50_tips,93.0,1.0,2.327441443999999,0.4194312263279427,50,,FastME,0.11451077461242676,
10_50_tips,90.0,1.0,0.8787994554999998,0.1445931118110682,50,,FastME,0.11451077461242676,
17_50_tips,8.0,0.0851063829787234,0.5673196579999997,0.1292910076139964,50,,FastME,0.11451077461242676,
15_50_tips,92.0,1.0,0.5197876063000001,0.0783697401343421,50,,FastME,0.11451077461242676,
11_50_tips,6.0,0.0638297872340425,1.4854923000000002,0.3477775905172844,50,,FastME,0.11451077461242676,
9_50_tips,92.0,1.0,0.8590925849999996,0.1664629137999594,50,,FastME,0.11451077461242676,
0_50_tips,12.0,0.1276595744680851,0.4000148442,0.0829624401003803,50,,FastME,0.11451077461242676,
1_50_tips,92.0,1.0,2.571223936000001,0.4872151460975601,50,,FastME,0.11451077461242676,
14_50_tips,20.0,0.2127659574468085,0.5436958279999998,0.1553854226347393,50,,FastME,0.11451077461242676,
6_50_tips,16.0,0.1702127659574468,0.7267332208,0.1692132613059747,50,,FastME,0.11451077461242676,
18_50_tips,8.0,0.0851063829787234,1.9556654157000004,0.4700911868459464,50,,FastME,0.11451077461242676,
5_50_tips,92.0,1.0,1.1975689827,0.1967670571827889,50,,FastME,0.11451077461242676,
3_50_tips,68.0,1.0,0.0328090662,0.008445507570625,50,,FastME,0.11451077461242676,
4_50_tips,14.0,0.1489361702127659,0.343457883,0.0600978783664326,50,,FastME,0.11451077461242676,
7_50_tips,24.0,0.2553191489361702,0.424934738,0.0854084564564813,50,,FastME,0.11451077461242676,
13_50_tips,92.0,1.0,2.0846060959999995,0.3570985730890931,50,,FastME,0.11451077461242676,
12_50_tips,83.0,1.0,0.195258361,0.0388121580349999,50,,FastME,0.11451077461242676,
19_50_tips,16.0,0.1702127659574468,1.735380615,0.4592579574066555,50,,FastME,0.11451077461242676,
8_50_tips,91.0,1.0,1.2575126542479995,0.2518050425164496,50,,FastME,0.11451077461242676,
16_50_tips,42.0,0.4468085106382978,0.145765181,0.035237446978771,50,,FastME,0.11451077461242676,
6_100_tips,72.0,0.3711340206185567,0.2881410253000002,0.0391364165466215,100,,Phyloformer,47.42806077003479,0.0
17_100_tips,54.0,0.2783505154639175,0.330366266,0.0500907026568369,100,,Phyloformer,47.42806077003479,0.0
8_100_tips,28.0,0.1443298969072164,1.4037888000000005,0.2018262281184382,100,,Phyloformer,47.42806077003479,0.0
