state	prob
AA	0.010303858294053812
AR	0.00450461896173269
AN	0.0026579502648900813
AD	0.004098317899715722
AC	0.0012915184523904747
AQ	0.0026117659012582428
AE	0.004063388972304828
AG	0.00664417178284665
AH	0.0019801547692485477
AI	0.0064218589597082746
AL	0.010892077321784549
AK	0.002972011465692275
AM	0.0021429500167593875
AF	0.004207637520377537
AP	0.003860521418988959
AS	0.004748192157909536
AT	0.00488293112099492
AW	0.001388338225436449
AY	0.0030725293991347566
AV	0.008637044259706654
RA	0.0045050343774030825
RR	0.0025359649618638546
RN	0.001742605154379453
RD	0.0037662747678455025
RC	0.0006608781540640193
RQ	0.0016582326784623962
RE	0.003900537547982533
RG	0.004082758139753043
RH	0.0012295093947251355
RI	0.002652228709213788
RL	0.005008545914785719
RK	0.0015213141771640833
RM	0.001012929583900691
RF	0.0020712652077910843
RP	0.0023302994768190383
RS	0.0028787805514835564
RT	0.0027203109591949293
RW	0.0008795596504000112
RY	0.0018294231671523986
RV	0.0036834028886498496
NA	0.0026657886748827943
NR	0.0017429704785898671
NN	0.002081791930293968
ND	0.002170608604815628
NC	0.0005181873757089583
NQ	0.0012805443582734118
NE	0.0019543367348107935
NG	0.0029959436119547894
NH	0.0009024517945183213
NI	0.0018631384135614805
NL	0.0027431280498144335
NK	0.0018520131682398311
NM	0.000692464093736263
NF	0.0013883874592022667
NP	0.0016421726901895116
NS	0.002534475796100517
NT	0.002178648184956238
NW	0.0004969106740537553
NY	0.001328117417450583
NV	0.00211802343036091
DA	0.004093352386357882
DR	0.0037658826526555315
DN	0.0021710316995891513
DD	0.0027239993247896266
DC	0.0006109717489977346
DQ	0.0015777361958744527
DE	0.0022749665326048793
DG	0.004244755091698963
DH	0.001500664315927312
DI	0.0022977700091676508
DL	0.0037279178476118226
DK	0.0030214618767003044
DM	0.0009048744784225362
DF	0.0017152645845533055
DP	0.0025149665228505614
DS	0.003252945477914791
DT	0.0029873361354016896
DW	0.0006987741432251622
DY	0.0016991500818894568
DV	0.0030403239113619687
CA	0.0012917415302968942
CR	0.0006615693406930487
CN	0.0005182345480655323
CD	0.0006109061519982871
CC	0.0009624592172276321
CQ	0.000407725903092888
CE	0.0006262066389070434
CG	0.0010327464053642647
CH	0.00045401009720763997
CI	0.0011147569792448499
CL	0.0017051820910962238
CK	0.0005332501182777621
CM	0.0003904780566085351
CF	0.000803720198483078
CP	0.0005988269530892216
CS	0.0008348294071681359
CT	0.0007620980916941782
CW	0.00026486036552816856
CY	0.0005903465209560198
CV	0.001310567295144705
QA	0.002617452349635705
QR	0.0016584360119340134
QN	0.001285943608428376
QD	0.0015752476115234056
QC	0.0004077006500199957
QQ	0.0011425118304746696
QE	0.001561279066735075
QG	0.0023051995769590773
QH	0.0007481085247623713
QI	0.0016798170305444293
QL	0.002882877773262392
QK	0.0013390168736159508
QM	0.0006358269249506562
QF	0.0012463732265598497
QP	0.001464226098182691
QS	0.001892459495643924
QT	0.0017999620823317037
QW	0.0004988989743494511
QY	0.0011165733303774585
QV	0.0021146762017755197
EA	0.004063419602112191
ER	0.0039008777412234234
EN	0.0019514741967185804
ED	0.002275764265715008
EC	0.0006261026376666375
EQ	0.0015612248608698727
EE	0.0022954304676765973
EG	0.0036588782206582646
EH	0.001392693206329144
EI	0.0026298904800782707
EL	0.004396668720494339
EK	0.003268218435889492
EM	0.0009668451962435126
EF	0.001824709436228239
EP	0.0022938975840271695
ES	0.0030755066849568673
ET	0.0028838098942565627
EW	0.0007203349977694883
EY	0.0017301441634554942
EV	0.0033333964261367008
GA	0.006644183538052845
GR	0.0040830624339316625
GN	0.0029961752953468956
GD	0.004244464578368963
GC	0.0010327483507558556
GQ	0.002305288806504407
GE	0.0036589236708334315
GG	0.006474738143124453
GH	0.0018213824113320653
GI	0.003834740487075303
GL	0.006021483502216313
GK	0.003086263277198055
GM	0.0015085003253218075
GF	0.0029203198692112266
GP	0.003451070633904355
GS	0.004595384003462929
GT	0.0042767237137939385
GW	0.001044289535174269
GY	0.002426008497606781
GV	0.005287536928430073
HA	0.0019797513168344234
HR	0.0012294179072660427
HN	0.0008984549520547322
HD	0.0015012647547143028
HC	0.0004549797122617767
HQ	0.0007519526412554257
HE	0.0013893050747645539
HG	0.0018215517442652478
HH	0.0008140122950162979
HI	0.001345416455428241
HL	0.00222615350761111
HK	0.0008593069556288799
HM	0.0005594018820061802
HF	0.001023229153775228
HP	0.0010608851688462338
HS	0.001610582962974103
HT	0.0013623143278755465
HW	0.0004120138042563345
HY	0.0009170039233439101
HV	0.001714446011882342
IA	0.0064220334666901515
IR	0.0026520728386699383
IN	0.0018567509682679431
ID	0.0022981159465860364
IC	0.0011146842705140182
IQ	0.0016788422092158582
IE	0.0026339762775342166
IG	0.003834941498598482
IH	0.0013473405518603483
II	0.007590570689141776
IL	0.010420733547420642
IK	0.0024682039311521237
IM	0.0018689870770465028
IF	0.003873572915655854
IP	0.0022085609524295892
IS	0.003156881212280123
IT	0.0033949021531408437
IW	0.001042803680858493
IY	0.0027706393707555865
IV	0.007543213191608821
LA	0.010888883160393707
LR	0.0050110318768053054
LN	0.0027432573626584348
LD	0.0037281590384065258
LC	0.0017051653997687119
LQ	0.0028827346919885317
LE	0.004396054958435528
LG	0.006022765322306518
LH	0.0022248352053691046
LI	0.010419840426422815
LL	0.01754144178469614
LK	0.0035793581748446873
LM	0.0029437621420647314
LF	0.006071295577455239
LP	0.0038394969283690175
LS	0.004941435098770249
LT	0.00530610458960217
LW	0.0019144648884451738
LY	0.004253800224158969
LV	0.012009925676664623
KA	0.002960418663242592
KR	0.00152111393859205
KN	0.0018519910114366178
KD	0.00301958978496216
KC	0.0005333053034552028
KQ	0.0013390387102085054
KE	0.0032722424118815873
KG	0.0030866679705912957
KH	0.0008594068223271645
KI	0.0024674948508167567
KL	0.00357935662584047
KK	0.001909290601332254
KM	0.0007985425447017397
KF	0.0016902933228553037
KP	0.001587453807291204
KS	0.0024908990635373602
KT	0.002245217326612818
KW	0.0005661883782036669
KY	0.001656505804680187
KV	0.0027205347910536273
MA	0.002143018965746655
MR	0.0010129202618172361
MN	0.0006924649858633014
MD	0.0009049094736215696
MC	0.00039015696748560423
MQ	0.0006358327864234852
ME	0.0009667696425237157
MG	0.0015036426930328378
MH	0.000559424621654177
MI	0.0018771272036438174
ML	0.002942497587924311
MK	0.0007983547324974309
MM	0.0007351535050436429
MF	0.0013222788953619646
MP	0.000874260273520916
MS	0.0011545932536762872
MT	0.001167696819310305
MW	0.00042379366968628657
MY	0.0009763556824260618
MV	0.002165694681402512
FA	0.0042069616739613255
FR	0.0020658682067905124
FN	0.001388560651592593
FD	0.0017142188240258922
FC	0.0008037646708468666
FQ	0.0012464053482797318
FE	0.0018261073058177257
FG	0.002920461010940547
FH	0.0010245920674422629
FI	0.00387342175542741
FL	0.006075092234341022
FK	0.0016907214628399606
FM	0.0013201703891129624
FF	0.002857349811596205
FP	0.0017673068043617987
FS	0.002359686581556491
FT	0.0022210289598255635
FW	0.0008479849301410813
FY	0.00202409131423464
FV	0.004281239730639787
PA	0.0038605880864265862
PR	0.0023304849083878015
PN	0.0016422448173616763
PD	0.002514888957455733
PC	0.0005988296786988192
PQ	0.0014642666220366007
PE	0.0022939435441752996
PG	0.003451078911960162
PH	0.0010608916311944008
PI	0.0022085512655016003
PL	0.0038394429141797694
PK	0.0015872881796866146
PM	0.0008743131498275638
PF	0.0017672832886072368
PP	0.002370476371391733
PS	0.002526617177762139
PT	0.002450739374340227
PW	0.0007747971692103514
PY	0.0015745316011974342
PV	0.0029426897991978685
SA	0.004742545962261275
SR	0.0028757616268959467
SN	0.0025351198558336615
SD	0.0032543591036797172
SC	0.0008348305914834535
SQ	0.0018926996133651237
SE	0.003071009413636788
SG	0.004595553076965797
SH	0.0016122039104663028
SI	0.0031561540111512457
SL	0.004941183901402508
SK	0.002490756773226208
SM	0.0011523556246317626
SF	0.0023595494976890747
SP	0.0025266781543716505
SS	0.0039649690765434726
ST	0.0034444119457279795
SW	0.0008235435882804541
SY	0.0019647248728827823
SV	0.004006447047878612
TA	0.004891190138079336
TR	0.0027210617044529065
TN	0.0021832408668723204
TD	0.002982325348422675
TC	0.000762070107845165
TQ	0.0018024406819973804
TE	0.0028876657172454316
TG	0.00427660772861012
TH	0.0013593000495795045
TI	0.0033986701061363197
TL	0.005305918081725114
TK	0.0022444652070299936
TM	0.001167797646904027
TF	0.0022208839990865625
TP	0.002450635579220497
TS	0.003443118501087238
TT	0.0036586028879308117
TW	0.0007522673886792242
TY	0.0018399682552634293
TV	0.004418231847263997
WA	0.0013894778238614878
WR	0.0008795043304746635
WN	0.000496520472521044
WD	0.0006987840812407048
WC	0.0002648487786408315
WQ	0.0004988344264976492
WE	0.0007199703824765154
WG	0.0010442501374952993
WH	0.0004143795158091953
WI	0.0010427925638709892
WL	0.0019145335417600352
WK	0.0005661738788671997
WM	0.00042371566406480604
WF	0.0008479832293858816
WP	0.0007747589863482698
WS	0.0008234420989579067
WT	0.0007522323448547306
WW	0.00041130470199784145
WY	0.0006751074504052356
WV	0.001249195531161271
YA	0.0030725979350041677
YR	0.001830192831841879
YN	0.0013282615264167284
YD	0.0016995780314536617
YC	0.0005901990927858138
YQ	0.0011165208403340675
YE	0.001730134380477176
YG	0.002426010391584326
YH	0.0009160061762131198
YI	0.0027713793107297033
YL	0.004246051501989605
YK	0.0016564389301736684
YM	0.0009769076233357777
YF	0.0020255384636613666
YP	0.0015745887837967463
YS	0.001964812365900606
YT	0.0018399284521516586
YW	0.0006755511424004275
YY	0.001681575836442348
YV	0.0030609348782637685
VA	0.00863766244782568
VR	0.0036838018919184866
VN	0.0021255773119223734
VD	0.003039878615371834
VC	0.0013115985322492106
VQ	0.0021177853898604136
VE	0.0033294014143531387
VG	0.005287928227450874
VH	0.001713156612469163
VI	0.007540882868433079
VL	0.012009872873300763
VK	0.002714561883235209
VM	0.0021668398547671297
VF	0.004281260108106764
VP	0.0029427988301500736
VS	0.003993603851026239
VT	0.004425417168312357
VW	0.0012492414229420786
VY	0.003060734836861921
VV	0.009665475524776168
