id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method
2_200_tips,116.0,0.2944162436548223,1.3003247810000012,0.1553506743133272,200,,Phyloformer
12_200_tips,62.0,0.1573604060913705,4.371236159,0.500201637828065,200,,Phyloformer
17_200_tips,94.0,0.2385786802030456,1.1498096822,0.1286411318621025,200,,Phyloformer
10_200_tips,262.0,0.6649746192893401,0.4925155191599998,0.0869934092534319,200,,Phyloformer
5_200_tips,74.0,0.1878172588832487,2.6453809674999995,0.2786086675822006,200,,Phyloformer
4_200_tips,88.0,0.2233502538071066,1.3589544767,0.1689456219055747,200,,Phyloformer
9_200_tips,84.0,0.2131979695431472,3.385933333400001,0.5023791851570223,200,,Phyloformer
1_200_tips,174.0,0.4416243654822335,1.6154397152100004,0.2442815432570543,200,,Phyloformer
18_200_tips,92.0,0.233502538071066,1.0694089214900009,0.1147194146653744,200,,Phyloformer
13_200_tips,64.0,0.1624365482233502,3.3794538830200014,0.3882336282454218,200,,Phyloformer
15_200_tips,98.0,0.248730964467005,1.1886113429999994,0.1359043772457727,200,,Phyloformer
3_200_tips,86.0,0.2182741116751269,2.0200897440000007,0.2102018656570649,200,,Phyloformer
0_200_tips,52.0,0.1319796954314721,4.619018277,0.4996473056778054,200,,Phyloformer
6_200_tips,136.0,0.3451776649746192,0.7526832227999997,0.0881722408352268,200,,Phyloformer
19_200_tips,182.0,0.4619289340101523,0.4833420280275002,0.0505289845442933,200,,Phyloformer
7_200_tips,64.0,0.1624365482233502,1.7268349309000013,0.2122681246985626,200,,Phyloformer
8_200_tips,254.0,0.6446700507614214,0.3625787147100001,0.0386375343002488,200,,Phyloformer
14_200_tips,100.0,0.2538071065989847,1.5240946182999988,0.1729426095504793,200,,Phyloformer
16_200_tips,78.0,0.1979695431472081,2.635187775299999,0.334257777041085,200,,Phyloformer
11_200_tips,66.0,0.1675126903553299,1.459666722327,0.1429629976744104,200,,Phyloformer
2_200_tips,128.0,0.3248730964467005,1.3486380397999986,0.1760258467244046,200,,IQ-TREE
12_200_tips,48.0,0.1218274111675127,4.908295915600002,0.6103608568062484,200,,IQ-TREE
17_200_tips,84.0,0.2131979695431472,1.0289000341999974,0.1143823055200589,200,,IQ-TREE
10_200_tips,274.0,0.6954314720812182,0.422029100959998,0.0604707677601091,200,,IQ-TREE
5_200_tips,56.0,0.1421319796954314,2.180463613600003,0.2986086251609715,200,,IQ-TREE
4_200_tips,68.0,0.1725888324873096,1.083713090699998,0.1510045880216912,200,,IQ-TREE
9_200_tips,96.0,0.2436548223350254,5.070414097100004,1.0319623246520857,200,,IQ-TREE
1_200_tips,166.0,0.4213197969543147,1.485368771409996,0.3406824683309715,200,,IQ-TREE
18_200_tips,100.0,0.2538071065989847,1.0399698182899977,0.1076217075038896,200,,IQ-TREE
13_200_tips,58.0,0.1472081218274111,4.210167537880004,0.682240191215396,200,,IQ-TREE
15_200_tips,106.0,0.2690355329949238,1.1653150299999986,0.1323096769446901,200,,IQ-TREE
3_200_tips,80.0,0.2030456852791878,2.141116937900001,0.2666306231191547,200,,IQ-TREE
0_200_tips,38.0,0.0964467005076142,5.174733232100002,0.7098186010631488,200,,IQ-TREE
6_200_tips,144.0,0.365482233502538,0.7213400842000018,0.0905062562467145,200,,IQ-TREE
19_200_tips,208.0,0.5279187817258884,0.4797382046674981,0.052474930418277,200,,IQ-TREE
7_200_tips,60.0,0.1522842639593908,1.8426813098999988,0.232993428037544,200,,IQ-TREE
8_200_tips,272.0,0.6903553299492385,0.3616888709099985,0.0399333627680707,200,,IQ-TREE
14_200_tips,110.0,0.2791878172588832,1.370983694299996,0.1667366250296462,200,,IQ-TREE
16_200_tips,72.0,0.182741116751269,3.510884021100004,0.5815401432992746,200,,IQ-TREE
11_200_tips,68.0,0.1725888324873096,1.4279213608269978,0.1484305079854885,200,,IQ-TREE
2_200_tips,390.0,1.0,8.511853139000001,0.9395549615836988,200,,FastME
12_200_tips,62.0,0.1573604060913705,5.913411291,0.7564720298518602,200,,FastME
10_200_tips,339.0,1.0,1.950223205159998,0.3903235904695151,200,,FastME
17_200_tips,383.0,1.0,5.919142292200004,0.5111647057205864,200,,FastME
4_200_tips,387.0,1.0,8.744443094700006,0.9893691019154488,200,,FastME
5_200_tips,391.0,1.0,17.89227304649999,1.8291512714121152,200,,FastME
1_200_tips,372.0,1.0,9.518780568609996,1.27624047270772,200,,FastME
9_200_tips,386.0,1.0,22.340631038400016,2.864528206410847,200,,FastME
13_200_tips,390.0,1.0,19.52115845317999,1.855722188864685,200,,FastME
18_200_tips,389.0,1.0,7.022842687490004,0.6132942545354093,200,,FastME
3_200_tips,389.0,1.0,13.030191453999992,1.1799623223929838,200,,FastME
15_200_tips,387.0,1.0,7.749061444999996,0.802516621736102,200,,FastME
6_200_tips,379.0,1.0,3.378420451800001,0.4387835906931236,200,,FastME
0_200_tips,48.0,0.1218274111675127,6.656776776999999,0.9341460150086408,200,,FastME
7_200_tips,62.0,0.1573604060913705,1.9846876949000007,0.2885848742705964,200,,FastME
19_200_tips,372.0,1.0,1.5639705462675,0.1596226916043921,200,,FastME
14_200_tips,388.0,1.0,8.009626310299998,0.7582343838550221,200,,FastME
8_200_tips,352.0,1.0,0.8504014107099996,0.0954343249801674,200,,FastME
11_200_tips,64.0,0.1624365482233502,1.466001816327,0.1520879682679002,200,,FastME
16_200_tips,388.0,1.0,17.55007778670001,1.792031575866997,200,,FastME
